Dia (Dia da Semana) ,Data (dd/mm/aa),Turno,Descarte (kg),Produção Total (kg),Produção ideal (kg),Produção - Arroz (kg),Produção - Feijão (kg),Produção - Macarrão (kg),Produção - Batata (kg),Produção - Carne (kg),Produção - Extrato de tomate (kg),Produção - Alface (Unid.),Produção - Cenoura (ou Beterraba) (kg),Produção - Couve (Maços),Produção - Tomate (kg),Produção - Pepino (kg),Produção - Cebola (kg),Classificação do dia
Quinta-feira,31/08/2023,Almoço,29,"448,5","419,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,31/08/2023,Jantar,26,"268,5","242,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,01/09/2023,Almoço,"34,8","448,5","413,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,01/09/2023,Jantar,"8,3","268,5","260,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,02/09/2023,Almoço,"14,35","448,5","434,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,02/09/2023,Jantar,"1,75","268,5","266,75",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,03/09/2023,Almoço,"3,15","448,5","445,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,03/09/2023,Jantar,7,"268,5","261,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,04/09/2023,Almoço,"39,9","448,5","408,6",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,04/09/2023,Jantar,"14,4","268,5","254,1",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,05/09/2023,Almoço,"54,5","448,5",394,40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,05/09/2023,Jantar,"16,2","268,5","252,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,06/09/2023,Almoço,"48,1","448,5","400,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,3
Quarta-feira,06/09/2023,Jantar,"7,3","268,5","261,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,3
Quinta-feira,07/09/2023,Almoço,5,"448,5","443,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,4
Quinta-feira,07/09/2023,Jantar,"6,65","268,5","261,85",15,10,"12,5",40,60,4,15,25,30,30,25,2,4
Sexta-feira,08/09/2023,Almoço,"2,5","448,5",446,40,20,"12,5",125,120,4,15,25,30,30,25,2,5
Sexta-feira,08/09/2023,Jantar,"2,4","268,5","266,1",15,10,"12,5",40,60,4,15,25,30,30,25,2,5
Sábado,09/09/2023,Almoço,9,"448,5","439,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,09/09/2023,Jantar,"3,4","268,5","265,1",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,10/09/2023,Almoço,"1,1","448,5","447,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,10/09/2023,Jantar,"2,6","268,5","265,9",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,11/09/2023,Almoço,"61,45","448,5","387,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,11/09/2023,Jantar,"12,3","268,5","256,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,12/09/2023,Almoço,"52,8","448,5","395,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,12/09/2023,Jantar,"10,35","268,5","258,15",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,13/09/2023,Almoço,"39,65","448,5","408,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,13/09/2023,Jantar,19,"268,5","249,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,14/09/2023,Almoço,"55,25","448,5","393,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,14/09/2023,Jantar,"21,9","268,5","246,6",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,15/09/2023,Almoço,"46,45","448,5","402,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
